Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,215,328,8,3,288,198,36.00,248,198,31.00,568,207,71.00,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,153,295,10,3,232,140,23.20,169,140,16.90,645,207,64.50,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerRecoveryOp.java,167,252,7,3,224,178,32.00,196,178,28.00,569,207,81.29,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/MacDigestManager.java,53,85,5,3,76,67,15.20,67,67,13.40,455,207,91.00,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingAddOp.java,141,199,5,3,182,138,36.40,165,138,33.00,554,207,110.80,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/PendingReadOp.java,144,213,5,3,193,170,38.60,173,170,34.60,554,207,110.80,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadLastConfirmedOp.java,91,151,6,2,127,101,21.17,103,101,17.17,300,171,50.00,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/ReadOnlyLedgerHandle.java,70,78,1,1,78,78,78.00,78,78,78.00,27,27,27.00,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/RoundRobinDistributionSchedule.java,69,89,3,2,88,87,29.33,87,87,29.00,434,207,144.67,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/client/SyncCounter.java,71,87,3,2,86,85,28.67,85,85,28.33,434,207,144.67,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/AbstractConfiguration.java,93,107,2,1,106,61,53.00,105,61,52.50,72,39,36.00,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ClientConfiguration.java,195,232,4,2,224,216,56.00,216,216,54.00,45,39,11.25,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/conf/ServerConfiguration.java,341,417,4,2,397,377,99.25,377,377,94.25,45,39,11.25,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/AbstractZkLedgerManager.java,232,257,2,1,255,251,127.50,253,251,126.50,37,33,18.50,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,174,193,1,1,193,193,193.00,193,193,193.00,33,33,33.00,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,477,514,1,1,514,514,514.00,514,514,514.00,33,33,33.00,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,175,204,1,1,204,204,204.00,204,204,204.00,33,33,33.00,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,130,144,1,1,144,144,144.00,144,144,144.00,33,33,33.00,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,91,98,1,1,98,98,98.00,98,98,98.00,33,33,33.00,No
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,157,225,8,3,203,178,25.38,181,178,22.63,598,207,74.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,137,170,5,3,162,75,32.40,154,75,30.80,468,207,93.60,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,355,585,12,3,489,209,40.75,393,209,32.75,642,207,53.50,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,114,146,4,3,139,75,34.75,132,75,33.00,467,207,116.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,468,579,9,3,556,521,61.78,533,521,59.22,607,207,67.44,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,509,763,10,3,683,573,68.30,603,573,60.30,608,207,60.80,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,121,148,2,1,148,148,74.00,148,148,74.00,263,207,131.50,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,164,194,4,2,184,173,46.00,174,173,43.50,527,207,131.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,137,168,4,2,158,147,39.50,148,147,37.00,527,207,131.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,83,1576,7,3,834,763,119.14,92,763,13.14,557,207,79.57,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,207,650,7,3,442,209,63.14,234,209,33.43,603,207,86.14,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,47,64,4,3,59,54,14.75,54,54,13.50,467,207,116.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,30,48,3,2,43,38,14.33,38,38,12.67,434,207,144.67,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,83,106,3,2,102,98,34.00,98,98,32.67,434,207,144.67,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,32,59,4,2,49,38,12.25,39,38,9.75,527,207,131.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,59,127,4,3,98,94,24.50,69,94,17.25,467,207,116.75,Yes
1,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,83,94,1,1,94,94,94.00,94,94,94.00,33,33,33.00,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/BookieLayoutVersionTest.java,237,321,3,1,291,246,97.00,261,246,87.00,45,39,15.00,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/bookie/EntryLogTest.java,81,90,1,1,90,90,90.00,90,90,90.00,2,2,2.00,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookKeeperTestClient.java,64,77,4,2,74,61,18.50,71,61,17.75,156,93,39.00,No
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/BookieRecoveryTest.java,549,839,11,3,728,400,66.18,617,400,56.09,655,207,59.55,Yes
1,bookkeeper-server/src/test/java/org/apache/bookkeeper/client/LedgerCacheTest.java,123,193,8,2,166,131,20.75,139,131,17.38,371,171,46.38,Yes
