Version,File_Name,LOC,LOC_touched,NR,NAuth,LOC_added,MAX_LOC_added,AVG_LOC_added,Churn,MAX_Churn,AVG_Churn,ChgSetSize,MAX_ChgSet,AVG_ChgSet,Bugginess
1,tajo-common/src/test/java/org/apache/tajo/util/TestNumberUtil.java,37,48,1,1,48,48,48.00,48,48,48.00,31,31,31.00,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/benchmark/BenchmarkSet.java,101,128,4,1,124,111,31.00,120,111,30.00,1256,1118,314.00,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/benchmark/Driver.java,39,46,1,1,46,46,46.00,46,46,46.00,1118,1118,1118.00,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/benchmark/SimpleQuery.java,25,29,1,1,29,29,29.00,29,29,29.00,1118,1118,1118.00,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/benchmark/TPCH.java,159,184,4,1,180,171,45.00,176,171,44.00,1427,1118,356.75,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/cli/TajoCli.java,615,1357,15,3,1033,382,68.87,709,382,47.27,1782,1118,118.80,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/client/QueryStatus.java,77,94,2,1,93,79,46.50,92,79,46.00,1191,1118,595.50,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/client/ResultSetUtil.java,43,49,1,1,49,49,49.00,49,49,49.00,1118,1118,1118.00,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/client/SQLStates.java,28,33,1,1,33,33,33.00,33,33,33.00,59,59,59.00,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/client/TajoClient.java,414,1054,16,2,764,297,47.75,474,297,29.63,1883,1118,117.69,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/client/TajoDump.java,113,147,2,1,138,131,69.00,129,131,64.50,65,59,32.50,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/AggregationFunctionCallEval.java,88,2,1,1,1,1,1.00,0,0,0,78,78,78.00,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/AlgebraicException.java,36,41,1,1,41,41,41.00,41,41,41.00,1118,1118,1118.00,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/AlgebraicUtil.java,284,345,2,1,317,289,158.50,289,289,144.50,1213,1118,606.50,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/BasicEvalNodeVisitor.java,253,453,7,1,371,280,53.00,289,280,41.29,138,52,19.71,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/BetweenPredicateEval.java,207,238,1,1,238,238,238.00,238,238,238.00,9,9,9.00,No
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/BinaryEval.java,207,337,7,1,283,234,40.43,229,234,32.71,1452,1118,207.43,Yes
1,tajo-core/tajo-core-backend/src/main/java/org/apache/tajo/engine/eval/CaseWhenEval.java,218,324,5,1,292,238,58.40,260,238,52.00,1447,1118,289.40,No
